data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls
10808187,25.00,Magnum,Multipak,Almond ispinde,1,3,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_18_19x905_2508x3969_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613746/2025-11-08/10808187.jpg
10806815,69.00,Faxe Kondi,Sodavand,Sportssodavand 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_3_2521x549_4863x3502_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613747/2025-11-08/10806815.jpg
10806817,69.00,Pepsi Max,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_3_2521x549_4863x3502_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613747/2025-11-08/10806817.jpg
10806816,69.00,Lime,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_3_2521x549_4863x3502_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613749/2025-11-08/10806816.jpg
10806825,10.00,Spir,Vegetabilske drikke,Havredrik,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_4_32x231_2450x3470_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613750/2025-11-08/10806825.jpg
10806838,10.00,Spir,Vegetabilske drikke,Mandeldrik,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_4_32x231_2450x3470_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613750/2025-11-08/10806838.jpg
10806837,10.00,Spir,Vegetabilske drikke,Havrekakao,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_4_32x231_2450x3470_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613751/2025-11-08/10806837.jpg
10806839,10.00,Spir,Vegetabilske drikke,Risdrik,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_4_32x231_2450x3470_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613752/2025-11-08/10806839.jpg
10806934,10.00,,Frugt,Mango,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_6_3109x1489_4933x3675_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613753/2025-11-08/10806934.jpg
10808487,20.00,,Sokker/Strømper,Strømper,1,2,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_34_189x5398_4927x6855_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613754/2025-11-08/10808487.jpg
10808406,16.00,Coca Cola,Sodavand,Cola,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_23_2446x2365_4998x4655_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613755/2025-11-08/10808406.jpg
10808412,16.00,Coca Cola Zero,Sodavand,Cola,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_23_2446x2365_4998x4655_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613755/2025-11-08/10808412.jpg
10808413,16.00,Exotic,Sodavand,Sodavand,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_23_2446x2365_4998x4655_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613756/2025-11-08/10808413.jpg
10808416,16.00,Raspberry,Sodavand,Hindbærsodavand,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_23_2446x2365_4998x4655_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613756/2025-11-08/10808416.jpg
10807004,18.00,,Frugt,Appelsiner,1,1,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_6_1117x3615_4723x5699_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613757/2025-11-08/10807004.jpg
10808417,129.00,,Lys/lyskæder,LED Juletræslys,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/46/63858/Netto452025-1_28_126x738_1716x2777_zoom.jpg,2025-11-08,2025-11-14,https://res.cloudinary.com/dfqzmnlga/image/upload/v1762613758/2025-11-08/10808417.jpg
