data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date
10764534,22.00,,Grønt,Græskar,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_6_87x4680_3051x6864_zoom.jpg,2025-10-18,2025-10-24
10764545,9.00,Næmt,Dej Køl,Pizzadej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_11_2214x55_4860x2677_zoom.jpg,2025-10-18,2025-10-24
10764896,12.00,Scoop,Koncentreret Saft,Hindbærsmag Læskedrik ,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x2833_2396x4818_zoom.jpg,2025-10-18,2025-10-24
10764898,12.00,Fun Light,Koncentreret Saft,Hindbær & Orange Læskedrik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x2833_2396x4818_zoom.jpg,2025-10-18,2025-10-24
10764899,12.00,Fun Light,Koncentreret Saft,Citron Lime Læskedrik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x2833_2396x4818_zoom.jpg,2025-10-18,2025-10-24
10764582,12.00,Becel,Fedtstoffer,Margarine-flydende,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_114x2612_2483x4834_zoom.jpg,2025-10-18,2025-10-24
10764897,12.00,Fun Light,Koncentreret Saft,Ananas Læskedrik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_31x2833_2396x4818_zoom.jpg,2025-10-18,2025-10-24
10764684,30.00,Mutti,Grønt,Tomater,1,1,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_20_3226x5304_4967x6821_zoom.jpg,2025-10-18,2025-10-24
10764577,25.00,Athena,Syrnet morgenmad,Græsk Yoghurt 2%,1,1,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_2361x2489_4901x4826_zoom.jpg,2025-10-18,2025-10-24
10764578,25.00,Athena,Syrnet morgenmad,Græsk Yoghurt 10%,1,1,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_2361x2489_4901x4826_zoom.jpg,2025-10-18,2025-10-24
10764539,25.00,Heinz,Ketchup,Ketchup,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_11_212x3621_2198x5982_zoom.jpg,2025-10-18,2025-10-24
10764576,25.00,Athena,Syrnet morgenmad,Græsk Yoghurt 0%,1,1,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_2361x2489_4901x4826_zoom.jpg,2025-10-18,2025-10-24
10764549,9.00,Næmt,Dej Køl,Pølsehornsdej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_11_57x5860_2410x6837_zoom.jpg,2025-10-18,2025-10-24
10764603,5.00,Happy Zoo,Juice,Jordbær & Banan Smoothie ,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_90x4891_2458x6845_zoom.jpg,2025-10-18,2025-10-24
10764574,5.00,Cheasy,Mellemmåltider,Vanilje Skyr ,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_49x886_2581x2652_zoom.jpg,2025-10-18,2025-10-24
10764572,5.00,Cheasy,Mellemmåltider,Mango & Lime Skyr ,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_13_49x886_2581x2652_zoom.jpg,2025-10-18,2025-10-24
10764484,89.00,,Australske vine,Australsk Rødvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2340x4674_4967x6833_zoom.jpg,2025-10-18,2025-10-24
10764486,89.00,,Australske vine,Australsk Rosevin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2340x4674_4967x6833_zoom.jpg,2025-10-18,2025-10-24
10764487,89.00,,Italienske vine,Italiensk Rødvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2340x4674_4967x6833_zoom.jpg,2025-10-18,2025-10-24
10764485,89.00,,Australske vine,Australsk Hvidvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2340x4674_4967x6833_zoom.jpg,2025-10-18,2025-10-24
10764584,20.00,,Færdigretter Frost,Halloween Nuggets,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_250x961_2409x3052_zoom.jpg,2025-10-18,2025-10-24
10764580,12.00,Bakersfield,Dybfrost Brød,Hvidløgsbrød,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_19_2958x643_4998x2471_zoom.jpg,2025-10-18,2025-10-24
10764642,16.00,Grovhakket,Postej og Paté,Leverpostej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_16_2458x2563_4860x5184_zoom.jpg,2025-10-18,2025-10-24
10764502,16.00,Grovhakket,Postej og Paté,Leverpostej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_3_3681x3757_4967x5086_zoom.jpg,2025-10-18,2025-10-24
10764657,11.97,Kohberg,Fastfoodbrød,Fuldkorn Burgerboller,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_18_106x4818_3028x6886_zoom.jpg,2025-10-18,2025-10-24
10764990,11.00,Fabulosa ,Rengøringsmidler,Rengøring - universal,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_50x811_3238x2839_zoom.jpg,2025-10-18,2025-10-24
10764743,10.00,Popz,Popcorn,Popcorn Salted,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_21_31x2328_1591x4655_zoom.jpg,2025-10-18,2025-10-24
